,Type,Title,Rating,Status,Start date,Completed date,Score,"Avg. Rating
(Rotten Tomatoes)","Avg. Rating
(AGB Nielsen)",Cast
,Movie,My Sassy Girl (Korean: 엽기적인 그녀),1.00,Done,,,0.95,0.93,,"Jun Ji-hyun as The Girl
Cha Tae-hyun as Gyeon-woo
Kim In-moon as Gyeon-woo's father
Song Ok-sook as Gyeon-woo's mother
Han Jin-hee as The Girl's father
Im Ho as the Blind Date Guy
Yang Geum-seok as Gyeon-woo's aunt"
,Kdrama,It's Okay to Not Be Okay (Korean: 사이코지만 괜찮아),1.00,Done,2020-08-16,2020-08-23,0.93,,5.43%,"Kim Soo-hyun as Moon Gang-tae[4]
Moon Woo-jin as young Moon Gang-tae
An orphaned caregiver working at OK Psychiatric Hospital. While empathetic to everyone around him, he struggles to give himself love as a result of his past experiences in life and avoids having close relationships with anyone other than his older brother. Because of his brother's traumatic experience, he frequently moves from town to town with him and has never lived a normal life.
Seo Ye-ji as Ko Moon-young[1]
Kim Soo-in as young Ko Moon-young
A popular children's book author with antisocial personality disorder. She had a troubled childhood and a turbulent relationship with her parents. She develops a romantic obsession over Moon Gang-tae after a coincidental encounter and often goes to extreme lengths to get his attention.
Oh Jung-se as Moon Sang-tae[5]
Lee Kyu-sung as young Moon Sang-tae
Moon Gang-tae's older brother who is autistic. He is a fan of Ko Moon-young, as well as an aspiring illustrator. He was the sole witness of his mother's murder, resulting in his irrational fear of butterflies. This fear develops into nightmares every spring which forces Gang-tae to move towns with Sang-tae in order to ""run away from the butterflies.""
Park Kyu-young as Nam Ju-ri[6]
Park Seo-kyung as young Nam Ju-ri
A nurse and Moon Gang-tae's co-worker at OK Psychiatric Hospital. She has an unrequited crush on Moon Gang-tae, and is shown to be shy and easily jealous of others who are close with her romantic interests. She dislikes Ko Moon-young, with whom she had a brief friendship in elementary school. Ju-ri lives with her mother Kang Soon-deok, a cook at the hospital.
SangsangESang Publishing Company
Kim Joo-hun as Lee Sang-in
The CEO of SangsangESang Publishing Company, which publishes Ko Moon-young's children's books. He started his career as an editor of a fairy tale story written by Moon-young, and is one of the few people who knows about her past. Despite the trouble Moon-young often puts him through, he cares for her well-being and of those close to her. He has a crush on Nam Ju-ri.
Park Jin-joo as Yoo Seung-jae
Art Director at SangsangESang Publishing Company, usually taking the role of Lee Sang-in's assistant. Despite constantly being scolded by Sang-in, the pair care for one another. She is naturally gifted in determining someone's true intentions, often sussing out when a person is lying or has a romantic interest towards someone. She is also skilled in tracking down one's personal details and history.
OK Psychiatric Hospital Officials
Kim Chang-wan as Oh Ji-wang
Director of the OK Psychiatric Hospital. Despite his use of unconventional methods, he holds a genuine concern and rapport with all of his patients and often succeeds at helping them get better. He becomes a pillar of support for Moon Gang-tae as he learns more about his tragic background, and offers both him and his brother Sang-tae counselling sessions to overcome their trauma.
Jang Young-nam as Park Haeng-ja
The head nurse of the hospital.
Kim Mi-kyung as Kang Soon-deok
A skilled chef at the hospital and Nam Ju-ri's mother. She deeply cares for the two brothers and often helps Moon Gang-tae look after Moon Sang-tae, seeing the two of them as her own children.
Jang Gyu-ri as Sun Byul
A nurse with 3 years of experience. Nam Ju-ri's friend.
Seo Joon as Kwon Min-suk
Choi Woo-sung as Oh Cha-yong
A young and careless caregiver.
Patients
Lee Eol as Ko Dae-hwan
Ko Moon-young's father and a patient at the hospital who is suffering and bed-bound from dementia. He was an architect who designed the Ko's family house, which is nicknamed the Cursed Castle after Do Hui-jae's disappearance.
Kim Ki-chun as Gan Pil-ong
A kind-hearted yet troubled Vietnam War veteran who suffers from post-traumatic stress disorder. He acts as Oh Ji-wang's informant, letting him secretly know what the patients are up to or hiding. He shares a patient room with Ko Dae-hwan and Joo Jeong-tae, but is closer with Jeong-tae as a result of the former's condition.
Jung Jae-kwang as Joo Jeong-tae
A patient content with life, originally admitted to the hospital for alcoholism. He was caught being in a relationship with fellow patient, Lee Ah-reum, by Moon Gang-tae, which is against the hospital's policy. Despite this, he remained optimistic about his recovery after Ah-reum's discharge, and seeks to stay in contact with her even after her move to America.
Ji Hye-won as Lee Ah-reum
A shy patient who was admitted for anxiety after escaping from her abusive ex-husband. She is in a relationship with Joo Jeong-tae. She is later discharged and moves to America with her family after an altercation caused by the ex-husband at the hospital. She and Jeong-tae promise to meet up and be together once Jeong-tae is discharged.
Kang Ji-eun as Park Ok-ran
A mysterious fan of Do Hui-jae who torments Ko Dae-hwan and Moon Gang-tae.
Joo In-young as Yoo Sun-hae
A patient with dissociative identity disorder she developed as a coping mechanism. She has a troubled relationship with her father, whom she despises. After the disorder set in when she was still a child, her parents sold her to a shaman and she subsequently became a shaman herself. However, because she has no real supernatural powers, her readings were never accurate. Later on, Oh Ji-wang admitted her to the hospital after he went to her for a reading.
Others
Kang Ki-doong as Jo Jae-soo
Moon Gang-tae's best friend, who follows him and Sang-tae whenever they move. He is extremely loyal to Moon Gang-tae and tries to cheer him up when he is down. Every time he moves, he opens a new fried chicken shop to support himself, but currently he runs a pizza parlour, hoping it would be permanent. It is implied he has a crush on Yoo Seung-jae.
Choi Hee-jin as Moon Sang-tae and Moon Gang-tae's mother
A single parent working hard to raise two kids, she was murdered over a decade ago under mysterious circumstances. Despite Sang-tae being the sole witness of the murder, the killer had never been caught.
Woo Jung-won/Jang Young-nam as Do Hui-jae
A best-selling novelist and Ko Moon-young's mother, she disappeared under mysterious circumstances over a decade before Moon-young meets Moon Gang-tae again. Mun-young legally declared her dead. She was abusive to Mun-young and is a big part of the reason Mun-young is the way she is. It is later revealed that she survived and is disguised as Head Nurse Park Haeng-ja of OK Psychiatric Hospital.
Special appearances
Kwak Dong-yeon as Kwon Ki-do (Ep. 3-4, 16)
Jung Sang-hoon as a love motel owner (Ep. 5)
Bae Hae-sun as Kang Eun-ja (Ep. 4-7, 16)
A patient at the hospital with psychotic depression.
Choi Daniel as CEO Choi Daniel (Ep. 8)"
,Kdrama,The Producers (Korean: 프로듀사),0.90,Done,2020-07-26,2020-08-02,0.88,,12.50%,"Cha Tae-hyun as Ra Joon-mo[8][9][10]
Gil Jeong-woo as young Joon-mo
Chae Sang-woo as teenage Joon-mo
A seasoned PD who has worked in the industry for ten years. Despite working on a lot of variety programs, he has no single masterpiece to call his own. A two-faced senior.
Gong Hyo-jin as Tak Ye-jin[11][12][13][14]
Lee Ji-won as young Ye-jin
Ha Seung-ri as teenage Ye-jin
An experienced PD who works on a long-time music program. She is smart, haughty and never holds back in letting people know what she thinks. She uses her high position to abuse newbies.
Kim Soo-hyun as Baek Seung-chan[15][16]
Park Sang-hun as young Seung-chan
An aspiring prosecutor who decides to join KBS because of his secret crush on a KBS employee. He becomes a rookie PD (producer-director) with the variety/entertainment division.
IU as Cindy[17][18][19]
Park Seon as young Cindy
A famous singer and celebrity who debuted as a trainee when she was 13 years old. She is called the ""ice princess"" for her poker face and complete control over her emotions."
,Kdrama,Extracurricular (Korean: 인간수업),0.90,Done,,,0.86,0.90,,"Kim Dong-hee as Oh Ji-soo
Jung Da-bin as Seo Min-hee
Park Joo-hyun as Bae Gyu-ri
Nam Yoon-soo as Kwak Ki-tae
Choi Min-soo as Lee Whang-chul
Park Hyuk-kwon as Cho Jin-woo
Kim Yeo-jin as Lee Hae-gyoung
"
,Kdrama,Strong Woman Bong-soon (Korean: 힘쎈여자 도봉순),0.90,Done,2020-10-27,2020-11-01,0.85,,7.65%,"Park Bo-young as Do Bong-soon[8]Shin Bi as young Do Bong-soonA beautiful young woman born with superhuman strength who tries to use her powers for good.Park Hyung-sik as Ahn Min-hyuk[9][10]Choi Seung-hun as young Ahn Min-hyukAn oddball chaebol heir and CEO of a gaming company, who hides his pain underneath his cheeky demeanor.Ji Soo as In Guk-doo[11]Choi Min-young [ko] as young In Guk-dooAn idealistic rookie detective who is passionate about justice.SupportingEditPeople around Do Bong-soonEdit

Ahn Woo-yeon as Do Bong-kiLee Hyo-dan as young Do Bong-kiBong-soon's twin brother.Shim Hye-jin as Hwang Jin-yiBong-soon's mother.Yoo Jae-myung as Do Chil-gooBong-soon's father.Park Bo-mi as Na Kyung-shimBong-soon's friend.Baek Soo-ryun as Lady Soon-shimBong-soon's maternal grandmother.Kim Mi-hee as Myung-soo's motherKim Soo-yeon as Jae-soon's mother

People around Ahn Min-hyukEdit

Jeon Seok-ho as Secretary GongMin-hyuk's secretary.Han Jung-kook as Ahn Chul-doMin-hyuk's father, Chairman of Ohsung Group.Kim Seong-beom as Ahn Dong-haMin-hyuk's half-brother.Shim Hoon-gi as Ahn Dong-sukMin-hyuk's formerly trusted half-brother.Lee Se-wook as Ahn Kyung-hwanMin-hyuk's half-brother.

People around In Guk-dooEdit

Seol In-ah as Jo Hee-jiGuk-doo's girlfriend.Yoon Ye-hee as Jung Mi-hwaGuk-doo's mother.

People at Baek Tak PartyEdit

Im Won-hee as Baek Soo-takKim Min-kyo as AhgariKim Won-hae as Kim Kwang-bokKim Ki-moo as Hwang Hyun-dongLee Ho-cheol

Do Bong Police Station Criminal Team 3Edit

Choi Moo-in as Team Leader YookOh Soon-tae as Bulgom (Brown Bear)Joo Ho as Neokboi (Knock Boy)Choi Hyung as Heollaengyi (Hell Angel)Kim Won-suk as Dotbogi (Magnifying Glass)

Ainsoft EmployeeEditKim Won-hae as Oh Dol-ppyeoHead of Development Planning Team; doppelgänger of Kim Kwang-bok."
,Kdrama,My Love from the Star (Korean: 별에서 온 그대),0.85,Done,,,0.86,,24.00%,"Jun Ji-hyun[4][5] as Cheon Song-yi
Kim Hyun-soo as young Cheon Song-yi / Yi-hwa
A top Hallyu star who is very blunt and airheaded and believes that she is every man's type, until she meets her stoic neighbor, Do Min-joon. She soon develops feelings for him.[6] In her youth she appears identical to Yi-hwa, who lived 400 years ago in the Joseon era.
Kim Soo-hyun[7] as Do Min-joon
A very cold and distant being, during the Joseon period he loved a young girl Yi-hwa for liking him as his true self, an alien. After Yi-hwa dies while saving him, he waits to return home.[8] Living a lonely and isolated life for centuries, he one day meets Cheon Song-yi, a girl who at her young age, looked exactly like Yi-hwa 400 years ago and whom he once saved. Min-joon and Song-yi fall for each other after he saved her life at a wedding.[9]
Park Hae-jin[10][11] as Lee Hee-kyung
Jo Seung-hyun as young Lee Hee-kyung
The youngest son of a chaebol founder, he is Song-yi's childhood friend who has an unrequited love for her. He believes one day she will love him, but decides to back down for a while, supporting her through thick and thin as a true friend.
Yoo In-na[12] as Yoo Se-mi
Kim Hye-yoon as young Yoo Se-mi
Song-yi's childhood best friend. Underneath her sweet demeanor and melodious leverage, she is actually envious of Song-yi and has had a crush on Hee-kyung for a long time. She gains leading roles and sponsorship as a result of Song-yi's fall from the entertainment industry.
Shin Sung-rok[13] as Lee Jae-kyung
Hee-kyung's older brother, the director and heir apparent of chaebol S&C Group. The main antagonist of the series, he is willing to do anything to silence Song-yi for a dark secret she knows about him.
Ahn Jae-hyun as Cheon Yoon-jae[14]
Jeon Jin-seo as young Cheon Yoon-jae
Song-yi's younger brother, who is initially estranged from his sister due to her success, but nonetheless defends her against insults from his classmates. He later moves into her home to support her, when her career hits rock-bottom. Yoon-jae develops a kinship with Min-joon because of their shared interest in astronomy.
"
,Kdrama,"It's Okay, That's Love (Korean: 괜찮아, 사랑이야)",0.85,Done,2020-08-02,2020-08-09,0.82,,9.90%,"Jo In-sung as Jang Jae-yeol
Sung Yu-bin as young Jang Jae-yeol
A bestselling mystery fiction novelist and radio DJ. Because of his troubled past and obsessive–compulsive disorder, Jae-yeol can only sleep in his own bathtub. From his first meeting with psychiatrist Ji Hae-soo on a talk show, they have had a combative relationship. When noise from ongoing construction beside his house interrupts his writing, and he learns that Hae-soo is currently a tenant living in a building he owns in Hongdae, Jae-yeol temporarily moves in with her and her housemates because of his fascination with her. As the two fall in love, they must later come to grips with Jae-yeol's undiagnosed schizophrenia.[8]
Gong Hyo-jin as Ji Hae-soo
Kang Joo-eun as young Ji Hae-soo
A first-year fellow in the psychiatry department at a university hospital. A smart and compassionate doctor but not very affectionate. Hae-soo self-diagnoses herself as having insecurity/anxiety issues, a fear of commitment and sex phobia due to an incident where she saw her mom cheating on her dad with another guy.[9][10][11][12][13]
Sung Dong-il as Jo Dong-min
Hae-soo's senior colleague at the hospital and housemate, who also happens to be her first love. His wife and children are based in the United States, and he has an amicable relationship with his ex-wife and colleague, Young-jin. After he becomes the court-appointed psychiatrist to a convict, Jang Jae-beom, whom he later finds out is Jae-yeol's brother, Dong-min sets out to find the truth behind the crime.
Lee Kwang-soo as Park Soo-kwang
A cafe waiter with Tourette syndrome, and housemate of Hae-soo and Dong-min. He is particularly close friends with Dong-min, who often calms him down during his panic attacks. Soo-kwang is unlucky in love and keeps getting dumped by girls, but the one he can't quite get over is So-nyeo, who is not only a minor but has several boyfriends at the same time.
Do Kyung-soo as Han Kang-woo
A high school student who's a big fan of Jae-yeol, and aspires to become a famous author like him. Kang-woo constantly bugs Jae-yeol to read his manuscripts, and follows him around. He and his mother are frequently beaten by his alcoholic father. Kang-woo is later revealed to be more than just a fan to Jae-yeol. Jae-yeol first saw Kang-woo three years ago, ever since Jae-beom stabbed him.
Supporting
Jin Kyung as Lee Young-jin
A psychiatrist and Hae-soo's immediate boss at the hospital. Young-jin still has unresolved feelings towards her ex-husband Dong-min, since the breakdown of their marriage was partially caused by her decision to focus on her career and not have children.
Lee Sung-kyung as Oh So-nyeo
A troubled girl with behavioral problems who was expelled from high school and was also abandoned by her mother. So-nyeo works at a cafe alongside Soo-kwang; she takes advantage of his feelings for her and uses him to give her money and buy her things, even though he knows she's seeing someone else. So-nyeo eventually falls for Soo-kwang and begins dating him exclusively, then decides she wants to become a psychiatrist like Hae-soo.
Yang Ik-june as Jang Jae-beom
Noh Tae-yub as young Jang Jae-beom
Jae-yeol's older brother who served eleven years in prison after being found guilty of killing their abusive stepfather. His defense attorney at the time found the verdict and sentence needlessly harsh, which came about due to a tough-on-juveniles judge and an ambitious prosecutor. Jae-beom has maintained his innocence through the years, but after being released, he repeatedly stabs his brother, and gets sentenced to another 30 months in jail. Violent and unstable, Jae-beom can't wait to get out of prison and get his revenge on Jae-yeol, whom he believes is the real murderer.
Cha Hwa-yeon as Ok-ja
Jae-yeol and Jae-beom's mother. She and Jae-yeol have a close, affectionate relationship. Her older son Jae-beom believes that Ok-ja gave false testimony against him at his trial in order to save Jae-yeol. But as Dong-min later learns from Jae-beom's defense attorney, Ok-ja was the true culprit, setting fire to her unconscious husband after one of her sons non-fatally stabbed him (the man's cause of death was asphyxia). The psychologist who examined her at the time diagnosed Ok-ja as suffering from dissociative disorder, a defense mechanism which made her forget what happened and what she'd done.
Tae Hang-ho as Tae-yong
Jae-yeol's best friend from childhood and an employee at his publishing house. Tae-yong betrays Jae-yeol by giving Pul-ip a galley proof of his latest book, but Jae-yeol forgives him.
Kim Mi-kyung as Hae-soo's mother
She takes good care of her severely handicapped husband, but is also having a decades-long affair with another man, Mr. Kim. Hae-soo's aversion to physical intimacy stems from her knowledge of her mother's affair.
Do Sang-woo as Choi Ho
The director (PD) of a TV talk show, and Hae-soo's boyfriend of almost a year. They break up when she learns that he's been unfaithful to her.
Choi Moon-kyung as Ji Yoon-soo
Lee Chae-eun as young Ji Yoon-soo
Hae-soo's older sister and Soo-kwang's coworker at the cafe.
Choi Seung-kyung as Oh Do-deuk, Yoon-soo's husband.
Han Jung-hyun as Editor Bae, Jae-yeol's book editor.
Myung Jong-hwan as Resident, Hae-soo's colleague.
Lee Seo-joon as Resident, Hae-soo's colleague.
Special appearances
Yoon Jin-yi as Lee Pool-ip (ep 1-2)
A magazine journalist who goes after an interview with Jae-yeol because she's a fan of his work, and ends up becoming his girlfriend for three years. Pul-ip later steals his latest book and passes it off as her own, then publicly accuses Jae-yeol of plagiarism.
Moon Ji-in as Min-young
Choi Ho's colleague at the TV station and the girl he's been cheating on Hae-soo with.
Lee El as Se-ra
A transgender woman who was beaten to near-death by her family.[19]
--- as Soo-bin, a patient with severe depression.
Baek Seung-do as Hwan-hee, a patient who draws erotic art.
Lee Dong-ha as Yoon-chul, a boy band singer and Hae-soo's close friend.
Jeong Ji-yun as Hye-jin, Yoon-chul's wife who has schizophrenia.
Ha Yeon-joo as Hyun-joo, Jae-yeol's crush in the past.
Jang Ki-yong as Sam, So-nyeo's boyfriend.
Kim Myung Joong as Hae-soo's father.
Kim Hwan as Talk show host (ep 1)
... as Dong-min's woman on bed(ep 1)
Heo Ji-woong as Radio DJ (ep 16)[20]
Goo Ha-ra as Female fan (ep 16)"
,Kdrama,Crash Landing on You (Korean: 사랑의 불시착),0.80,Done,,,0.78,,12.40%,"Hyun Bin as Ri Jeong-hyeok[5]
A proficient but emotionally reserved captain in the Korean People's Army who is stationed along the North Korean DMZ. He is well-respected by the unit he leads and the locals of the rural village he resides in. While he comes from a powerful political family (his father is the director of the General Political Bureau), he prefers to keep his lineage secret. A piano prodigy, he was studying to become a concert pianist in Switzerland before being forced to join the North Korean military after his older brother (with whom he was very close) died in a mysterious car accident. He hides and protects Se-ri after she accidentally crash-lands in his patrol territory. As he tries to help Se-ri find her way back into South Korea, he begins to fall in love with her.
Son Ye-jin as Yoon Se-ri[5]
A South Korean chaebol[5] heiress with a troubled family history as she is her father's illegitimate child (while her father loves her, she is the target of resentment from her half-brothers and their wives, as well as neglect from her step-mother). She is nonetheless an independently wealthy businesswoman who runs her own successful fashion and beauty company, Se-ri's Choice. She is known for publicity stunts, being a tough boss, a picky eater, and having a keen business sense. She meets Ri Jeong-hyeok after accidentally crash-landing in North Korea due to a paragliding accident. She begins to fall in love with Jeong-hyeok as he tries to help her return to South Korea.
Kim Jung-hyun as Gu Seung-joon / Alberto Gu[6]
An intelligent, charming, but poor South Korean conman with British citizenship. After his family went bankrupt, he ingratiated himself with Se-ri's brother, Se-yung, in order to embezzle from their family's company. Se-yung attempted to organize a marriage between Sung-joon and Se-ri, but Se-ri sensed Sung-joon's ill intentions on their first meeting. After this rejection, Seung-joon successfully cheated a fortune from their family's company under Se-yung's watch, and fled to North Korea to avoid arrest.
Seo Ji-hye as Seo Dan[7]
A North Korean department store heiress and aspiring cellist who is also Ri Jeong-hyeok's fiancée through an affianced marriage arranged by their parents. While she has been infatuated with Jeong-hyeok since they were high school classmates, he doesn't reciprocate her feelings, but agrees to the betrothed marriage out of a sense of duty to his parents. She later fell for Seung-joon."
